react_id,direction,sample_id,Master.Protein.Accessions,bnum,bio_rep,fmol_per_gDW_calib_avg,flux_units,mfa_sampling_ave,mfa_sampling_var,mfa_sampling_lb,mfa_sampling_ub,kapp_per_s
UAGPT3,fwd,pgi1,murG,b0090,B1,1169705.02198908,mmol*gDW-1*hr-1,0.018591137,2.51E-08,0.01840393,0.018990646,4.41496328146091
UAGPT3,fwd,tpi4,murG,b0090,B2,1420481.1247034,mmol*gDW-1*hr-1,0.013935145,3.55E-08,0.013660883,0.014292954,2.72504403176731
UAGPT3,fwd,sdh2,murG,b0090,B1,1051134.80921767,mmol*gDW-1*hr-1,0.025105274,1.28E-08,0.024933948,0.025318961,6.63443657375644
UAGPT3,fwd,sdh1,murG,b0090,B1,1382751.50071995,mmol*gDW-1*hr-1,0.024167774,1.69E-08,0.023957256,0.02442237,4.85500869249476
UAGPT3,fwd,sdh2,murG,b0090,B2,1570999.40910314,mmol*gDW-1*hr-1,0.025105274,1.28E-08,0.024933948,0.025318961,4.43901326875954
UAGPT3,fwd,tpi1,murG,b0090,B1,1491205.97529492,mmol*gDW-1*hr-1,0.013270036,3.97E-08,0.013001319,0.013717132,2.47190607614223
UAGPT3,fwd,pgi6,murG,b0090,B1,1258381.58012175,mmol*gDW-1*hr-1,0.019179014,6.66E-08,0.018693335,0.019621207,4.23361560042339
UAGPT3,fwd,pgi8,murG,b0090,B2,1761722.6251673,mmol*gDW-1*hr-1,0.019023145,5.02E-08,0.018697635,0.019488712,2.99945455031132
UAGPT3,fwd,pgi8,murG,b0090,B1,835566.161468681,mmol*gDW-1*hr-1,0.019023145,5.02E-08,0.018697635,0.019488712,6.32410356967586
UAGPT3,fwd,tpi1,murG,b0090,B2,1508670.19448351,mmol*gDW-1*hr-1,0.013270036,3.97E-08,0.013001319,0.013717132,2.44329153223118
UAMAGS,fwd,pts2,murD,b0088,B1,2513329.07279636,mmol*gDW-1*hr-1,0.021261598,1.67E-07,0.020726804,0.022169932,2.34987113640211
UAMAGS,fwd,pgi2,murD,b0088,B2,2967809.53102559,mmol*gDW-1*hr-1,0.016401484,1.25E-07,0.015987552,0.01731166,1.53512809031359
UAMAGS,fwd,tpi4,murD,b0088,B2,1907945.66928865,mmol*gDW-1*hr-1,0.013935145,3.55E-08,0.013660883,0.014292954,2.02881752526754
UAMAGS,fwd,pgi6,murD,b0088,B2,1411307.29636779,mmol*gDW-1*hr-1,0.019179014,6.66E-08,0.018693335,0.019621207,3.77487164035786
UAMAGS,fwd,pts3,murD,b0088,B1,3270268.47678356,mmol*gDW-1*hr-1,0.016191294,3.62E-07,0.01535804,0.017398596,1.37529432173417
UAMAGS,fwd,pgi3,murD,b0088,B1,1895810.32809135,mmol*gDW-1*hr-1,0.017399509,6.79E-07,0.015792801,0.018817746,2.54940954420813
UAMAGS,fwd,tpi3,murD,b0088,B1,1771244.03476367,mmol*gDW-1*hr-1,0.012663092,1.10E-07,0.012177357,0.013309786,1.98590679009676
UAMAGS,fwd,sdh2,murD,b0088,B1,1617284.13999768,mmol*gDW-1*hr-1,0.025105274,1.28E-08,0.024933948,0.025318961,4.31197403706206
UAMAGS,fwd,pgi8,murD,b0088,B1,3014386.04942586,mmol*gDW-1*hr-1,0.019023145,5.02E-08,0.018697635,0.019488712,1.75299608537231
UAMAGS,fwd,tpi4,murD,b0088,B1,1961512.16852774,mmol*gDW-1*hr-1,0.013935145,3.55E-08,0.013660883,0.014292954,1.9734129990213
UAMAGS,fwd,WT2,murD,b0088,B2,2015771.05875676,mmol*gDW-1*hr-1,0.026349789,8.83E-08,0.025987125,0.027070057,3.63106008568632
UAMAGS,fwd,pts3,murD,b0088,B2,3945249.49254667,mmol*gDW-1*hr-1,0.016191294,3.62E-07,0.01535804,0.017398596,1.13999930173325
UAMAGS,fwd,sdh1,murD,b0088,B2,1940453.88099661,mmol*gDW-1*hr-1,0.024167774,1.69E-08,0.023957256,0.02442237,3.45963932526324
UAMAGS,fwd,WT2,murD,b0088,B1,2068808.61933867,mmol*gDW-1*hr-1,0.026349789,8.83E-08,0.025987125,0.027070057,3.53797145125637
UAMAGS,fwd,pgi3,murD,b0088,B2,2743171.86005526,mmol*gDW-1*hr-1,0.017399509,6.79E-07,0.015792801,0.018817746,1.76190089101712
UAMAGS,fwd,WT1,murD,b0088,B1,1818594.18265818,mmol*gDW-1*hr-1,0.024954236,4.10E-08,0.024657487,0.025389621,3.81158825224567
UAMAGS,fwd,pgi8,murD,b0088,B2,3329005.60626539,mmol*gDW-1*hr-1,0.019023145,5.02E-08,0.018697635,0.019488712,1.58732293346074
UAMAGS,fwd,pgi6,murD,b0088,B1,1612008.42337014,mmol*gDW-1*hr-1,0.019179014,6.66E-08,0.018693335,0.019621207,3.30488588747629
UAMAGS,fwd,pgi7,murD,b0088,B2,1923444.70303652,mmol*gDW-1*hr-1,0.018334918,4.67E-09,0.018232565,0.018463952,2.64787065088872
UAMAGS,fwd,pgi1,murD,b0088,B2,1766296.29162383,mmol*gDW-1*hr-1,0.018591137,2.51E-08,0.01840393,0.018990646,2.9237477011711
UAMAGS,fwd,pts1,murD,b0088,B2,2780148.11233444,mmol*gDW-1*hr-1,0.01514536,1.44E-07,0.014585658,0.015875366,1.51324471735136
UAMAGS,fwd,pgi5,murD,b0088,B2,2567544.39745251,mmol*gDW-1*hr-1,0.017465812,1.14E-07,0.016937348,0.0181504,1.88959320401944
UAMAGS,fwd,sdh3,murD,b0088,B2,1470922.10157177,mmol*gDW-1*hr-1,0.025074679,9.80E-08,0.024689482,0.025832927,4.73525321542751
UAMAGS,fwd,tpi1,murD,b0088,B1,2491077.9945395,mmol*gDW-1*hr-1,0.013270036,3.97E-08,0.013001319,0.013717132,1.47972930562238
UAMAGS,fwd,pgi7,murD,b0088,B1,1654557.64870918,mmol*gDW-1*hr-1,0.018334918,4.67E-09,0.018232565,0.018463952,3.0781839374114
UAMAGS,fwd,tpi1,murD,b0088,B2,2718148.78794296,mmol*gDW-1*hr-1,0.013270036,3.97E-08,0.013001319,0.013717132,1.35611454658473
UAMAGS,fwd,pts1,murD,b0088,B1,3251759.85382178,mmol*gDW-1*hr-1,0.01514536,1.44E-07,0.014585658,0.015875366,1.29377464313668
UAMAGS,fwd,WT1,murD,b0088,B2,1838368.8229414,mmol*gDW-1*hr-1,0.024954236,4.10E-08,0.024657487,0.025389621,3.77058843455114
UAMAGS,fwd,sdh1,murD,b0088,B1,1860407.53017586,mmol*gDW-1*hr-1,0.024167774,1.69E-08,0.023957256,0.02442237,3.60849461565066
UAMAGS,fwd,sdh3,murD,b0088,B1,1853229.07737988,mmol*gDW-1*hr-1,0.025074679,9.80E-08,0.024689482,0.025832927,3.75840671621588
UAMAGS,fwd,pgi1,murD,b0088,B1,3246626.85315968,mmol*gDW-1*hr-1,0.018591137,2.51E-08,0.01840393,0.018990646,1.59063697671209
UAMAGS,fwd,pgi5,murD,b0088,B1,2047786.72835653,mmol*gDW-1*hr-1,0.017465812,1.14E-07,0.016937348,0.0181504,2.36919908565778
UAMAGS,fwd,tpi2,murD,b0088,B1,1504725.68113432,mmol*gDW-1*hr-1,0.013393049,1.51E-10,0.013372848,0.01341308,2.47240506062499
UAMAGS,fwd,pts4,murD,b0088,B1,2687336.75145093,mmol*gDW-1*hr-1,0.022961136,1.43E-07,0.022520725,0.023928418,2.37338819926074
UAMAGS,fwd,pgi2,murD,b0088,B1,2537273.20201162,mmol*gDW-1*hr-1,0.016401484,1.25E-07,0.015987552,0.01731166,1.79561577135867
UAMAGS,fwd,pts2,murD,b0088,B2,2366680.39621782,mmol*gDW-1*hr-1,0.021261598,1.67E-07,0.020726804,0.022169932,2.49547824618938
UAMAGS,fwd,tpi3,murD,b0088,B2,1052793.62999148,mmol*gDW-1*hr-1,0.012663092,1.10E-07,0.012177357,0.013309786,3.34113491509633
UAMAGS,fwd,pts4,murD,b0088,B2,1687383.51040194,mmol*gDW-1*hr-1,0.022961136,1.43E-07,0.022520725,0.023928418,3.77987179204687
UAMAGS,fwd,tpi2,murD,b0088,B2,1642904.35438258,mmol*gDW-1*hr-1,0.013393049,1.51E-10,0.013372848,0.01341308,2.26446011842669
UAMAGS,fwd,pgi4,murD,b0088,B1,3419318.42655153,mmol*gDW-1*hr-1,0.019546567,1.28E-07,0.019100973,0.020384815,1.58791936494792
UAMAGS,fwd,sdh2,murD,b0088,B2,1977122.25051167,mmol*gDW-1*hr-1,0.025105274,1.28E-08,0.024933948,0.025318961,3.52719070377033
UAMAGS,fwd,pgi4,murD,b0088,B2,2990329.93364994,mmol*gDW-1*hr-1,0.019546567,1.28E-07,0.019100973,0.020384815,1.81572002585587
UAMAS,fwd,tpi1,murC,b0091,B1,2650517.83332817,mmol*gDW-1*hr-1,0.013270036,3.97E-08,0.013001319,0.013717132,1.39071734012163
UAMAS,fwd,pgi6,murC,b0091,B1,2728879.44053424,mmol*gDW-1*hr-1,0.019179014,6.66E-08,0.018693335,0.019621207,1.9522679564935
UAMAS,fwd,pts3,murC,b0091,B1,4349120.81381086,mmol*gDW-1*hr-1,0.016191294,3.62E-07,0.01535804,0.017398596,1.03413583094412
UAMAS,fwd,tpi4,murC,b0091,B1,2925254.52323746,mmol*gDW-1*hr-1,0.013935145,3.55E-08,0.013660883,0.014292954,1.32326044806081
UAMAS,fwd,pgi3,murC,b0091,B2,2629869.28286344,mmol*gDW-1*hr-1,0.017399509,6.79E-07,0.015792801,0.018817746,1.83780881275665
UAMAS,fwd,WT2,murC,b0091,B1,2627415.26184777,mmol*gDW-1*hr-1,0.026349789,8.83E-08,0.025987125,0.027070057,2.78577427010372
UAMAS,fwd,WT2,murC,b0091,B2,3014794.03242163,mmol*gDW-1*hr-1,0.026349789,8.83E-08,0.025987125,0.027070057,2.42782284780299
UAMAS,fwd,tpi1,murC,b0091,B2,2136937.5560423,mmol*gDW-1*hr-1,0.013270036,3.97E-08,0.013001319,0.013717132,1.72495499491242
UAMAS,fwd,pgi8,murC,b0091,B1,2899414.32660242,mmol*gDW-1*hr-1,0.019023145,5.02E-08,0.018697635,0.019488712,1.8225083928024
UAMAS,fwd,WT1,murC,b0091,B1,2483608.87808621,mmol*gDW-1*hr-1,0.024954236,4.10E-08,0.024657487,0.025389621,2.7909918841825
UAMAS,fwd,pgi3,murC,b0091,B1,2806571.93982451,mmol*gDW-1*hr-1,0.017399509,6.79E-07,0.015792801,0.018817746,1.72209978866483
UAMAS,fwd,tpi2,murC,b0091,B2,2640013.59165822,mmol*gDW-1*hr-1,0.013393049,1.51E-10,0.013372848,0.01341308,1.40919402863837
UAMAS,fwd,pts3,murC,b0091,B2,4261536.67202733,mmol*gDW-1*hr-1,0.016191294,3.62E-07,0.01535804,0.017398596,1.05538964294001
UAMAS,fwd,tpi3,murC,b0091,B2,2251815.38153091,mmol*gDW-1*hr-1,0.012663092,1.10E-07,0.012177357,0.013309786,1.56208434510477
