Gene	Glucose_fg_cell	Chemostat_mu_0_5
dkgA	1.69E-02	2.41E-02
purD	1.61E-01	8.86E-02
map	7.19E-02	5.38E-02
gcd	6.23E-03	1.09E-02
recA	9.54E-02	1.47E-01
ghrB	1.05E-01	7.30E-02
yfbU	3.99E-02	4.11E-02
hldE	6.79E-02	4.88E-02
pyrD	9.42E-02	5.92E-02
yjgR	1.57E-02	1.61E-02
treA	6.95E-03	1.14E-02
tyrB	1.28E-01	1.08E-01
nagE	3.02E-02	1.41E-01
gshA	5.31E-02	3.14E-02
ligA	3.55E-02	3.90E-02
rfbB	6.79E-02	3.91E-02
miaB	8.61E-02	4.33E-02
srmB	2.49E-02	4.40E-02
murA	4.83E-02	3.89E-02
ubiE	4.33E-02	3.73E-02
dxs	3.35E-02	3.67E-02
tyrR	1.27E-02	2.13E-02
asnA	1.07E-01	6.39E-02
ilvA	1.30E-02	1.33E-02
rluC	9.09E-03	5.80E-03
gpmA	5.71E-01	4.25E-01
tabA	4.43E-01	4.64E-01
purC	3.67E-01	3.09E-01
ahpC	2.01E+00	1.79E+00
carA	6.36E-01	3.34E-01
deoC	5.35E-02	4.07E-02
sspA	1.90E-01	1.37E-01
bcp	2.22E-01	1.44E-01
tolB	1.29E-01	1.02E-01
trxB	2.55E-01	1.54E-01
codA	2.42E-01	2.22E-01
livK	1.73E-01	1.52E-01
acrB	5.32E-02	7.38E-02
crp	8.03E-02	1.12E-01
nusG	1.34E-01	9.67E-02
prfB	1.15E-01	9.36E-02
rpoD	7.55E-02	8.60E-02
trpA	2.09E-01	1.73E-01
galM	7.86E-02	7.40E-02
dacA	9.94E-02	6.62E-02
fabH	1.18E-01	8.08E-02
degQ	6.62E-02	6.99E-02
ychF	1.82E-01	1.15E-01
yceH	3.44E-02	3.16E-02
modA	3.43E-02	6.03E-02
ftsA	4.30E-02	4.54E-02
gcvT	4.41E-02	2.70E-02
hscA	6.39E-02	3.96E-02
ygiF	2.31E-02	2.68E-02
frsA	1.93E-02	1.32E-02
slt	9.74E-03	7.14E-03
deaD	6.55E-02	5.50E-02
aroF	1.34E-01	7.92E-02
thiI	1.80E-02	1.97E-02
glpA	1.39E-03	2.81E-03
yheS	6.67E-03	9.23E-03
malT	3.61E-03	3.36E-02
sodA	8.30E-01	9.01E-01
rplF	5.67E-01	4.87E-01
yeeX	4.29E-01	3.25E-01
potD	2.15E-01	1.78E-01
leuB	3.01E-01	3.58E-01
ydcL	5.95E-02	6.22E-02
artI	8.61E-02	1.14E-01
fabF	1.37E-01	1.35E-01
pfkB	5.05E-02	4.26E-02
wzzB	9.90E-02	8.05E-02
hisD	2.64E-01	1.30E-01
gmhA	1.16E-01	1.49E-01
fabG	1.98E-01	1.27E-01
ftsY	1.04E-01	7.64E-02
aroA	1.57E-01	6.11E-02
ydcS	5.78E-03	2.74E-02
folE	5.84E-01	2.38E-01
damX	6.98E-02	4.61E-02
acuI	6.32E-02	6.20E-02
dcrB	7.14E-02	4.22E-02
mlaC	6.23E-02	4.07E-02
hflC	8.06E-02	6.19E-02
manA	6.50E-02	6.49E-02
fbp	5.77E-02	5.98E-02
dnaJ	4.69E-02	4.55E-02
trpS	1.13E-01	6.78E-02
lysU	4.73E-02	4.17E-02
trpG	9.67E-02	1.29E-01
ugpB	9.08E-03	1.70E-02
hisC	1.44E-01	9.42E-02
yicC	3.91E-02	4.12E-02
gsiB	2.96E-02	2.33E-02
pheA	1.13E-01	1.44E-01
purR	5.23E-02	5.39E-02
cusC	1.23E-01	6.92E-02
prr	2.64E-02	8.22E-02
gpr	1.08E-02	3.35E-02
galE	3.84E-02	3.38E-02
glk	2.86E-02	5.96E-02
uvrB	1.70E-02	1.70E-02
tgt	5.98E-02	2.61E-02
galK	2.54E-02	3.64E-02
ycfP	2.79E-02	2.65E-02
dhaK	4.78E-02	6.32E-02
coaB	1.82E-02	3.25E-02
nadC	3.43E-02	2.34E-02
glf	5.96E-02	4.65E-02
ybiT	3.40E-02	1.94E-02
hsdM	3.40E-02	1.81E-02
oxyR	2.25E-02	2.13E-02
der	2.44E-02	3.18E-02
yegQ	2.25E-02	1.87E-02
mglA	2.37E-03	3.37E-02
crr	1.01E+00	7.94E-01
wrbA	1.83E-01	2.07E-01
ygaU	4.94E-02	1.06E-01
rpsH	5.19E-01	3.30E-01
infC	2.36E-01	2.00E-01
fkpA	2.72E-01	1.45E-01
uspE	8.56E-02	8.90E-02
atpH	2.47E-01	2.17E-01
frr	1.93E-01	1.11E-01
poxB	2.65E-02	4.44E-02
fabD	1.82E-01	9.18E-02
hslO	1.27E-01	1.00E-01
panB	1.21E-01	1.15E-01
panC	6.74E-02	5.81E-02
gshB	7.54E-02	6.02E-02
ushA	3.67E-02	3.50E-02
