,KM [mM],RIDS,MIDS
224,0.96514755,MLDCP2Bpp,h2o_p
225,0.6496644,MLDCP2Bpp,ala__D_p
226,1.1579163,MLDCP2Bpp,h2o_p
227,0.8368449,MLDCP2Bpp,ala__D_p
228,0.55682397,MLDCP2Bpp,h2o_p
229,0.6819262,MLDCP2Bpp,ala__D_p
230,0.64631855,MLDCP2Bpp,h2o_p
231,1.130875,MLDCP2Bpp,ala__D_p
232,0.19226153,LPLIPAL1E140pp,h_p
233,0.024528768,LPLIPAL1E140pp,1agpe140_p
234,0.15861045,LPLIPAL1E140pp,h2o_p
235,0.22945446,LPLIPAL1E140pp,g3pe_p
236,0.036774237,NDPK2,adp_c
237,0.028196003,NDPK2,atp_c
238,0.22817214,NDPK2,utp_c
239,0.22918822,NDPK2,udp_c
240,0.13667788,3NTD4pp,3cmp_p
241,0.2225369,3NTD4pp,pi_p
242,0.17524792,3NTD4pp,cytd_p
243,0.1396916,3NTD4pp,h2o_p
244,0.2707219,CFAS180E,amet_c
245,0.23333888,CFAS180E,ahcys_c
246,1.7067915,CFAS180E,h_c
247,0.36228144,TREptspp,tre_p
248,0.22998519,TREptspp,pep_c
249,0.46054482,TREptspp,tre6p_c
250,0.34424442,TREptspp,pyr_c
251,4.1555386,TREptspp,tre_p
252,0.28161547,TREptspp,pep_c
253,0.36806336,TREptspp,tre6p_c
254,0.8989802,TREptspp,pyr_c
255,2.6828473,TREptspp,tre_p
256,0.41103584,TREptspp,pep_c
257,0.2750075,TREptspp,tre6p_c
258,1.5066444,TREptspp,pyr_c
259,1.7853005,TREptspp,tre_p
260,0.18059447,TREptspp,pep_c
261,0.2799272,TREptspp,tre6p_c
262,0.5551665,TREptspp,pyr_c
263,0.3156326,PAPA120pp,pi_p
264,0.63603127,PAPA120pp,h2o_p
265,0.05215797,ACCOAC,adp_c
266,0.041864265,ACCOAC,atp_c
267,0.030305054,ACCOAC,accoa_c
268,0.023851054,ACCOAC,malcoa_c
269,0.4351559,ACCOAC,pi_c
270,1.3968797,ACCOAC,h_c
271,1.1854224,ACCOAC,hco3_c
272,0.2750165,SPMS,ptrc_c
273,0.014360666,SPMS,5mta_c
274,0.12914234,SPMS,spmd_c
